Date,Open,High,Low,Close,Volume,Adj Close
2016-05-09,28.40,28.790001,28.32,28.48,1898000,28.48
2016-05-06,28.51,28.90,27.92,28.40,4283800,28.40
2016-05-05,28.860001,29.01,28.51,28.799999,2949600,28.799999
2016-05-04,29.10,29.25,28.57,28.809999,2354800,28.809999
2016-05-03,29.610001,29.610001,28.690001,29.290001,3020100,29.290001
2016-05-02,29.83,30.040001,29.440001,30.00,2700000,30.00
2016-04-29,30.290001,30.440001,29.60,29.83,3401900,29.83
2016-04-28,31.43,31.540001,30.440001,30.52,2654900,30.350001
2016-04-27,31.85,32.080002,31.43,31.639999,2468800,31.463761
2016-04-26,31.809999,32.02,31.690001,31.98,2435900,31.801867
2016-04-25,31.709999,31.92,31.40,31.76,3150000,31.583093
2016-04-22,31.280001,32.169998,31.280001,31.76,2907200,31.583093
2016-04-21,31.18,31.49,30.98,31.299999,3669200,31.125655
2016-04-20,30.67,31.299999,30.120001,31.049999,6447600,30.877047
2016-04-19,31.00,31.17,30.17,30.98,8189200,30.807437
2016-04-18,31.50,31.809999,31.24,31.65,4458400,31.473706
2016-04-15,32.290001,32.400002,31.65,31.700001,3212700,31.523428
2016-04-14,32.16,32.610001,32.119999,32.32,2139200,32.139974
2016-04-13,31.299999,32.419998,31.290001,32.400002,2792500,32.21953
2016-04-12,30.67,31.18,30.549999,31.00,2026300,30.827326
2016-04-11,30.139999,30.76,29.889999,30.530001,2932200,30.359945
2016-04-08,30.15,30.360001,29.77,29.879999,1879400,29.713564
2016-04-07,31.23,31.629999,29.719999,29.879999,3164400,29.713564
2016-04-06,31.139999,31.629999,31.00,31.549999,2945800,31.374262
2016-04-05,31.27,31.48,30.83,31.200001,1950800,31.026213
2016-04-04,32.209999,32.259998,31.58,31.639999,2130500,31.463761
2016-04-01,31.219999,32.259998,31.030001,32.25,3650800,32.070364
2016-03-31,31.52,31.969999,31.440001,31.530001,2739700,31.354375
2016-03-30,31.43,31.82,31.15,31.620001,2466600,31.443874
2016-03-29,30.90,31.309999,30.540001,31.139999,3476600,30.966546
2016-03-28,31.27,31.299999,30.860001,31.08,1523700,30.906881
2016-03-24,30.879999,31.24,30.67,31.18,1756000,31.006324
2016-03-23,31.959999,32.00,31.139999,31.27,2084000,31.095823
2016-03-22,31.18,31.75,31.00,31.59,1826600,31.41404
2016-03-21,31.620001,32.240002,31.26,31.52,1709100,31.34443
2016-03-18,31.25,31.76,30.83,31.690001,2752900,31.513484
2016-03-17,30.23,31.209999,30.059999,31.049999,3755800,30.877047
2016-03-16,31.02,31.59,30.25,30.42,4943600,30.250557
2016-03-15,31.17,31.290001,30.719999,31.16,2000500,30.986435
2016-03-14,31.709999,31.99,31.43,31.52,2175100,31.34443
2016-03-11,30.92,31.98,30.76,31.93,2964700,31.752147
2016-03-10,30.58,30.84,30.08,30.65,3410100,30.479276
2016-03-09,30.639999,30.68,30.07,30.280001,2306700,30.111338
2016-03-08,30.969999,31.290001,30.110001,30.35,3249500,30.180947
2016-03-07,30.809999,31.52,30.610001,31.51,2182900,31.334486
2016-03-04,31.200001,31.75,30.77,31.049999,2782500,30.877047
2016-03-03,30.34,31.07,29.60,31.040001,3371200,30.867105
2016-03-02,30.00,30.59,29.209999,30.549999,3805800,30.379832
2016-03-01,28.790001,30.09,28.74,30.040001,3679100,29.872675
2016-02-29,29.26,29.309999,28.530001,28.58,3238800,28.420806
2016-02-26,28.65,29.57,28.620001,29.17,4492800,29.00752
2016-02-25,27.75,28.32,27.629999,28.299999,2215100,28.142365
2016-02-24,27.280001,27.84,26.950001,27.799999,2419600,27.64515
2016-02-23,27.99,28.18,27.41,27.790001,3026500,27.635207
2016-02-22,28.209999,28.51,27.940001,28.049999,2317900,27.893758
2016-02-19,27.540001,28.08,27.43,27.889999,2000200,27.734649
2016-02-18,27.99,28.059999,27.450001,27.67,2753700,27.515875
2016-02-17,27.50,27.99,27.48,27.860001,4229700,27.704817
2016-02-16,26.85,27.32,26.75,27.07,4307900,26.919217
2016-02-12,26.26,26.52,25.549999,26.280001,5103700,26.133618
2016-02-11,25.379999,26.049999,24.879999,25.68,5223900,25.53696
2016-02-10,26.59,27.440001,26.280001,26.33,3813100,26.183339
2016-02-09,25.83,26.629999,25.75,26.360001,4764600,26.213172
2016-02-08,26.540001,26.559999,26.01,26.389999,5187700,26.243004
2016-02-05,27.209999,27.83,27.049999,27.16,5775000,27.008716
2016-02-04,25.98,27.120001,25.91,27.08,6548500,26.929161
2016-02-03,26.35,26.450001,25.030001,26.17,7140300,26.02423
2016-02-02,27.09,27.60,25.92,26.049999,5443100,25.904898
2016-02-01,27.24,27.67,26.799999,27.530001,4897400,27.376655
2016-01-29,27.440001,27.719999,26.35,27.58,8848000,27.257323
2016-01-28,28.559999,28.610001,27.290001,27.35,8024300,27.030014
2016-01-27,28.639999,29.15,28.040001,28.27,3989900,27.939251
2016-01-26,28.68,28.90,28.23,28.809999,4354200,28.472932
2016-01-25,28.98,29.040001,28.00,28.459999,6619100,28.127026
2016-01-22,28.620001,29.40,28.209999,29.040001,9384600,28.700242
2016-01-21,28.07,28.459999,27.73,27.969999,6418400,27.642759
2016-01-20,28.99,28.99,27.280001,28.309999,6700000,27.978782
2016-01-19,29.639999,29.77,28.40,28.93,5996500,28.591529
2016-01-15,29.33,29.889999,28.75,29.110001,4880900,28.769423
2016-01-14,30.190001,30.530001,29.33,30.290001,4007100,29.935618
2016-01-13,31.799999,31.799999,29.790001,30.01,3841200,29.658893
2016-01-12,30.09,31.23,30.09,31.110001,4151500,30.746024
2016-01-11,31.34,31.360001,30.23,30.67,2884700,30.311171
2016-01-08,31.52,31.719999,30.959999,31.02,3516300,30.657076
2016-01-07,31.700001,31.870001,30.879999,31.030001,2893300,30.66696
2016-01-06,32.84,32.93,32.049999,32.34,3085900,31.961633
2016-01-05,33.759998,33.799999,33.110001,33.41,2767300,33.019114
2016-01-04,33.830002,33.93,33.189999,33.59,3269900,33.197008
2015-12-31,34.869999,35.259998,34.709999,34.709999,1156900,34.303903
2015-12-30,35.23,35.439999,35.040001,35.16,1089600,34.748639
2015-12-29,35.400002,35.459999,35.049999,35.209999,1349300,34.798053
2015-12-28,34.759998,35.02,34.509998,34.959999,1247900,34.550978
2015-12-24,34.950001,35.049999,34.77,34.860001,373500,34.45215
2015-12-23,35.049999,35.049999,34.470001,34.919998,1500200,34.511445
2015-12-22,34.040001,34.82,33.970001,34.73,1934300,34.32367
2015-12-21,34.029999,34.330002,33.560001,33.970001,2126300,33.572563
2015-12-18,34.57,34.830002,33.759998,33.779999,3605000,33.384784
2015-12-17,35.860001,35.98,34.82,34.830002,2916000,34.422502
2015-12-16,35.759998,36.009998,34.790001,35.700001,4008200,35.282322
2015-12-15,34.75,35.57,34.619999,35.470001,2389500,35.055014
2015-12-14,34.529999,35.07,33.869999,34.290001,3298800,33.888819
2015-12-11,35.07,35.189999,34.25,34.310001,2544800,33.908585
2015-12-10,35.389999,36.029999,35.18,35.639999,1854900,35.223023
2015-12-09,35.779999,36.259998,35.09,35.310001,2153000,34.896886
2015-12-08,36.02,36.16,35.59,36.02,2717400,35.598578
2015-12-07,36.779999,36.779999,36.040001,36.349998,2690500,35.924715
2015-12-04,36.240002,37.060001,36.110001,36.810001,3101500,36.379336
2015-12-03,37.09,37.09,35.759998,36.009998,2638100,35.588693
2015-12-02,37.060001,37.060001,36.509998,36.759998,1998100,36.329918
2015-12-01,36.919998,37.139999,36.349998,36.919998,2205200,36.488046
2015-11-30,36.759998,36.849998,36.419998,36.630001,2035200,36.201442
2015-11-27,36.509998,36.77,36.389999,36.740002,691900,36.310156
2015-11-25,36.43,36.599998,36.07,36.540001,1135000,36.112495
2015-11-24,36.189999,36.50,36.049999,36.34,2787600,35.914834
2015-11-23,36.939999,37.060001,36.549999,36.57,1381600,36.142143
2015-11-20,36.860001,36.990002,36.669998,36.889999,1753100,36.458398
2015-11-19,36.790001,37.00,36.240002,36.580002,1874100,36.152028
2015-11-18,36.439999,37.00,36.189999,36.880001,2306300,36.448517
2015-11-17,36.099998,36.630001,35.860001,36.189999,1800900,35.766587
2015-11-16,35.610001,36.02,35.290001,36.02,1922000,35.598578
2015-11-13,35.959999,36.360001,35.200001,35.700001,2510400,35.282322
2015-11-12,36.419998,36.52,36.040001,36.040001,1535000,35.618345
2015-11-11,36.939999,37.00,36.59,36.75,1872600,36.320037
2015-11-10,36.75,36.830002,36.099998,36.639999,3023600,36.211323
2015-11-09,37.389999,37.560001,36.759998,36.950001,2447500,36.517698
2015-11-06,37.380001,37.900002,37.119999,37.259998,6392800,36.824068
2015-11-05,36.400002,36.700001,36.169998,36.209999,2827700,35.618342
2015-11-04,36.290001,36.650002,35.959999,36.310001,2438300,35.71671
2015-11-03,35.900002,36.380001,35.849998,36.130001,3021600,35.539651
2015-11-02,34.689999,36.27,34.610001,36.119999,4220100,35.529813
2015-10-30,34.860001,34.939999,34.439999,34.470001,2596000,33.906775
2015-10-29,34.709999,35.209999,34.049999,34.959999,2789100,34.388767
2015-10-28,33.369999,35.16,32.849998,34.889999,6066200,34.319911
2015-10-27,33.48,33.869999,32.57,33.279999,3761200,32.736217
2015-10-26,33.82,34.040001,33.630001,33.830002,2816000,33.277233
2015-10-23,33.349998,34.009998,33.169998,33.93,2930900,33.375598
2015-10-22,32.369999,33.119999,32.32,32.959999,2878700,32.421446
2015-10-21,32.610001,32.849998,32.220001,32.259998,3273400,31.732883
2015-10-20,32.290001,32.650002,32.150002,32.560001,1675100,32.027984
2015-10-19,31.92,32.310001,31.66,32.200001,1618900,31.673866
2015-10-16,31.90,32.220001,31.59,32.18,1808000,31.654192
2015-10-15,31.49,31.790001,31.16,31.700001,2117200,31.182035
2015-10-14,31.48,31.73,30.84,31.08,2776100,30.572165
2015-10-13,31.809999,32.23,31.629999,31.66,1607100,31.142688
2015-10-12,31.809999,32.119999,31.68,32.080002,1456500,31.555827
2015-10-09,32.259998,32.529999,31.66,31.870001,2018100,31.349258
2015-10-08,31.90,32.32,31.620001,32.150002,2884700,31.624683
2015-10-07,31.66,32.16,31.51,32.040001,2774500,31.51648
2015-10-06,31.950001,32.060001,31.09,31.51,3220300,30.995139
2015-10-05,31.48,32.25,31.26,32.09,3433000,31.565662
2015-10-02,31.030001,31.17,29.690001,31.17,7023800,30.660695
2015-10-01,31.719999,32.07,31.299999,32.049999,4053400,31.526315
2015-09-30,31.48,31.879999,31.34,31.84,3384100,31.319747
2015-09-29,30.879999,31.35,30.66,30.99,3054600,30.483636
2015-09-28,31.83,32.02,30.68,30.74,4470600,30.23772
2015-09-25,32.290001,32.779999,32.150002,32.439999,3589900,31.909942
2015-09-24,31.84,31.950001,31.43,31.73,2883300,31.211544
2015-09-23,32.23,32.580002,32.099998,32.279999,1703500,31.752557
2015-09-22,32.16,32.380001,31.73,32.200001,2424100,31.673866
2015-09-21,32.57,33.040001,32.459999,32.700001,3055300,32.165696
2015-09-18,32.619999,32.939999,32.119999,32.23,6224100,31.703374
2015-09-17,34.610001,35.25,33.27,33.380001,5705100,32.834585
2015-09-16,34.220001,34.669998,33.849998,34.619999,2845100,34.054322
2015-09-15,33.689999,34.240002,33.639999,34.16,2027000,33.601839
2015-09-14,33.75,33.889999,33.470001,33.52,2270300,32.972297
2015-09-11,33.73,33.860001,33.290001,33.84,2012800,33.287068
2015-09-10,33.52,34.029999,33.310001,33.75,2567800,33.198538
2015-09-09,34.119999,34.66,33.299999,33.400002,3134200,32.854259
2015-09-08,33.16,33.900002,33.080002,33.830002,3881600,33.277233
2015-09-04,32.419998,32.610001,32.080002,32.389999,1856700,31.86076
2015-09-03,32.580002,33.220001,32.380001,32.709999,3082400,32.175531
2015-09-02,32.639999,32.740002,31.92,32.529999,2404300,31.998472
2015-09-01,32.470001,32.720001,31.93,32.130001,3142100,31.60501
2015-08-31,33.349998,33.759998,33.25,33.459999,2795400,32.913276
